Importer,Exporter,Count
Australia,Italy,743
Australia,Japan,184
Australia,Kenya,39
Australia,Kyrgyzstan,6
Australia,Lithuania,2
Australia,Macao,3
Australia,Madagascar,1
Australia,Malaysia,41
Australia,Mauritius,2
Australia,Mexico,2
Australia,Moldova (Republic of),8
Australia,Netherlands,132
Australia,New Zealand,55
Australia,Pakistan,1
Australia,Papua New Guinea,33
Australia,Paraguay,2
Australia,Philippines,1
Australia,Poland,30
Australia,Portugal,8
Australia,Romania,1
Australia,Russian Federation,1
Australia,Singapore,4412
Australia,South Africa,373
Australia,South Korea,40
Australia,Spain,115
Australia,Sri Lanka,7
Australia,Switzerland,1475
Australia,Thailand,152
Australia,Tonga,2
Australia,Turkey,1
Australia,United Arab Emirates,31
Australia,United Kingdom,166
Australia,Uruguay,55
Australia,Vanuatu,4
Australia,Viet Nam,5
Australia,Virgin Islands (British),1
Australia,Zambia,3
Australia,Zimbabwe,15
Austria,Argentina,15
Austria,Australia,167
Austria,Azerbaijan,8
Austria,Bangladesh,1
Austria,Benin,5
Austria,Bhutan,2
Austria,Brazil,11
Austria,Cameroon,3
Austria,Canada,49
Austria,Chile,1
Austria,China,3
Austria,Colombia,6
Austria,Ethiopia,2
Austria,Greenland,1
Austria,Hong Kong,22
Austria,India,44
Austria,Indonesia,472
Austria,Japan,103
Austria,Kazakhstan,1
Austria,Kyrgyzstan,35
Austria,Madagascar,107
Austria,Monaco,2
Austria,Mongolia,1
Austria,Pakistan,5
Austria,Qatar,1
Austria,Russian Federation,27
Austria,Saudi Arabia,3
Austria,Singapore,14
Austria,South Africa,178
Austria,South Korea,22
Austria,Sri Lanka,7
Austria,Switzerland,1617
Austria,Taiwan,7
Austria,Tajikistan,2
Austria,"Tanzania, United Republic of",40
Austria,Thailand,11
Austria,Turkey,15
Austria,United Arab Emirates,165
Austria,United Kingdom,144
Austria,United States of America,29
Austria,Virgin Islands (British),1
Austria,Zambia,17
Austria,Zimbabwe,117
Azerbaijan,Austria,9
Azerbaijan,Belarus,14
Azerbaijan,Bulgaria,3
Azerbaijan,China,60
Azerbaijan,France,440
Azerbaijan,Germany,42
Azerbaijan,Indonesia,1
Azerbaijan,Iran (Islamic Republic of),1
Azerbaijan,Ireland,10
Azerbaijan,Italy,180
Azerbaijan,Kuwait,7
Azerbaijan,Kyrgyzstan,1
Azerbaijan,Netherlands,1074
Azerbaijan,Poland,5
Azerbaijan,Qatar,2
Azerbaijan,Russian Federation,12
Azerbaijan,South Africa,3
Azerbaijan,Switzerland,123
Azerbaijan,Thailand,7
Azerbaijan,United Arab Emirates,2
Azerbaijan,United Kingdom,3
Azerbaijan,Uzbekistan,1
Bahamas,France,1
Bahamas,Germany,7
Bahamas,Italy,12
Bahamas,Nicaragua,1
Bahamas,South Africa,1
Bahamas,Spain,3
Bahamas,Switzerland,33
Bahamas,Taiwan,3
Bahamas,Thailand,3
Bahamas,United States of America,319
Bahrain,Argentina,2
Bahrain,Austria,102
Bahrain,Bangladesh,2
Bahrain,Belgium,50
Bahrain,Bulgaria,40
Bahrain,Canada,103
Bahrain,China,6
Bahrain,Cyprus,59
Bahrain,Czech Republic,17
Bahrain,Denmark,1
Bahrain,Estonia,8
Bahrain,France,591
Bahrain,Germany,152
Bahrain,Greece,3
Bahrain,India,4
Bahrain,Indonesia,318
Bahrain,Iran (Islamic Republic of),1
Bahrain,Ireland,22
Bahrain,Italy,87
Bahrain,Japan,10
Bahrain,Kuwait,88
Bahrain,Lebanon,1005
Bahrain,Malaysia,1
Bahrain,Netherlands,2818
Bahrain,Oman,135
Bahrain,Philippines,2
Bahrain,Poland,55
Bahrain,Portugal,7
Bahrain,Romania,1
Bahrain,Saudi Arabia,63
Bahrain,Singapore,18
Bahrain,Slovakia,3
Bahrain,Slovenia,3
Bahrain,South Africa,35
Bahrain,Spain,179
Bahrain,Sri Lanka,4
Bahrain,Suriname,4
Bahrain,Switzerland,289
Bahrain,Taiwan,1
Bahrain,Thailand,521
Bahrain,United Arab Emirates,402
Bahrain,United Kingdom,168
Bahrain,United States of America,20
Bahrain,Viet Nam,137
Bangladesh,Belgium,149
Bangladesh,Cameroon,1
Bangladesh,Canada,1
Bangladesh,China,21
Bangladesh,Congo,6
Bangladesh,Cyprus,243
Bangladesh,Czech Republic,39
Bangladesh,Democratic Republic of the Congo,8
Bangladesh,Germany,46
Bangladesh,Ghana,2
Bangladesh,Guinea,1
Bangladesh,Guyana,181
Bangladesh,Indonesia,405
Bangladesh,Italy,3
Bangladesh,Kuwait,24
Bangladesh,Malaysia,4
Bangladesh,Mali,2
Bangladesh,Nepal,4
Bangladesh,Netherlands,464
Bangladesh,Niger,1
Bangladesh,Nigeria,1
Bangladesh,Oman,1
Bangladesh,Philippines,2
Bangladesh,Portugal,394
Bangladesh,Senegal,2
Bangladesh,Singapore,11
Bangladesh,Solomon Islands,11
Bangladesh,South Africa,1874
Bangladesh,South Korea,2
Bangladesh,Spain,126
Bangladesh,Sri Lanka,4
Bangladesh,Sudan,12
Bangladesh,Suriname,71
Bangladesh,Sweden,2
Bangladesh,Switzerland,19
Bangladesh,Taiwan,69
Bangladesh,Thailand,127
Bangladesh,United Kingdom,3
Bangladesh,Venezuela (Bolivarian Republic of),4
Bangladesh,Viet Nam,5
Barbados,Belgium,1
Barbados,China,2
Barbados,Côte d'Ivoire,2
Barbados,France,1
Barbados,Germany,9
Barbados,Guyana,4
Barbados,Jamaica,4
Barbados,Netherlands,864
Barbados,Saint Kitts and Nevis,1
Barbados,Switzerland,3
Barbados,Thailand,51
Barbados,United Kingdom,6
Barbados,United States of America,8
Barbados,Uruguay,4
Belarus,Armenia,19
Belarus,Azerbaijan,4
Belarus,Denmark,1
Belarus,France,142
Belarus,Germany,182
Belarus,Greece,48
Belarus,Israel,9
Belarus,Italy,19
Belarus,Kyrgyzstan,6
Belarus,Lithuania,4
Belarus,Mongolia,1
Belarus,Netherlands,2907
Belarus,Pakistan,2
Belarus,Russian Federation,35
Belarus,San Marino,1
Belarus,South Africa,2
Belarus,Spain,13
Belarus,Switzerland,14
Belarus,Thailand,12
Belarus,Ukraine,1
Belgium,Argentina,13
Belgium,Australia,6
Belgium,Botswana,8
Belgium,Brazil,10
Belgium,Cameroon,87
Belgium,Canada,162
Belgium,Chile,1
Belgium,China,760
Belgium,Costa Rica,2
Belgium,Curaçao,4
Belgium,Côte d'Ivoire,3
Belgium,Democratic Republic of the Congo,87
Belgium,Ethiopia,5
Belgium,Ghana,4
Belgium,Hong Kong,13
Belgium,India,28
Belgium,Indonesia,230
Belgium,Iran (Islamic Republic of),11
Belgium,Israel,3
Belgium,Japan,115
Belgium,Kyrgyzstan,14
Belgium,Madagascar,1
Belgium,Malaysia,1
Belgium,Mauritius,128
Belgium,Mexico,13
Belgium,Mongolia,1
Belgium,Morocco,1
Belgium,Nepal,2
Belgium,Norway,3
Belgium,Pakistan,2
Belgium,Peru,4
Belgium,Philippines,1
Belgium,Russian Federation,18
Belgium,Samoa,4
Belgium,Senegal,5
Belgium,Singapore,125
Belgium,South Africa,264
Belgium,South Korea,58
Belgium,Switzerland,867
Belgium,Taiwan,12
Belgium,"Tanzania, United Republic of",34
Belgium,Thailand,23
Belgium,Tunisia,6
Belgium,Turkey,12
Belgium,Ukraine,2
Belgium,United Arab Emirates,6
Belgium,United Kingdom,46
Belgium,United States of America,43
Belgium,Uruguay,4
Belgium,Viet Nam,2
Belgium,Zambia,7
Belgium,Zimbabwe,29
Belize,Guatemala,1
Belize,South Africa,1
Belize,Switzerland,1
Belize,United States of America,1
Benin,Burkina Faso,1
Benin,France,2
Benin,Germany,2
Benin,Italy,1
Benin,Netherlands,170
Benin,Niger,4
Benin,South Africa,20
Benin,Sudan,1
Benin,Thailand,4
Bermuda,Denmark,1
Bermuda,France,23
Bermuda,Germany,1
Bermuda,Mexico,1
Bermuda,Switzerland,4
Bermuda,United Kingdom,4
Bhutan,Germany,8
Bolivia (Plurinational State of),Canada,2
Bolivia (Plurinational State of),France,19
Bolivia (Plurinational State of),Germany,29
Bolivia (Plurinational State of),Switzerland,4
"Bonaire, Sint Eustatius and Saba",Aruba,3
"Bonaire, Sint Eustatius and Saba",Curaçao,2
"Bonaire, Sint Eustatius and Saba",Germany,4
"Bonaire, Sint Eustatius and Saba",Netherlands,551
Bosnia and Herzegovina,Austria,31
Bosnia and Herzegovina,Croatia,15
Bosnia and Herzegovina,Czech Republic,7
Bosnia and Herzegovina,Estonia,11
Bosnia and Herzegovina,France,99
Bosnia and Herzegovina,Germany,88
Bosnia and Herzegovina,Indonesia,1
Bosnia and Herzegovina,Italy,3
Bosnia and Herzegovina,Kyrgyzstan,2
Bosnia and Herzegovina,Netherlands,9248
Bosnia and Herzegovina,Russian Federation,1
Bosnia and Herzegovina,Serbia,49
Bosnia and Herzegovina,Slovenia,9
Bosnia and Herzegovina,Switzerland,21
Botswana,South Africa,2
Botswana,Zimbabwe,14
Brazil,Argentina,8
Brazil,Australia,622
Brazil,Austria,42
Brazil,Bolivia (Plurinational State of),12
Brazil,Canada,2
Brazil,China,11
Brazil,Colombia,4
Brazil,Czech Republic,8
Brazil,Denmark,1
Brazil,France,1370
Brazil,Germany,296
Brazil,Hungary,4
Brazil,Indonesia,1679
Brazil,Ireland,13
Brazil,Italy,369
Brazil,Jamaica,4
Brazil,Japan,26
Brazil,Malaysia,339
Brazil,Mexico,11
Brazil,Micronesia (Federated States of),6
Brazil,Netherlands,15
Brazil,Papua New Guinea,1
Brazil,Paraguay,23
Brazil,Peru,2
Brazil,Portugal,552
Brazil,Singapore,9
Brazil,South Africa,137
Brazil,Spain,32
Brazil,Switzerland,615
Brazil,Taiwan,59
Brazil,Thailand,282
Brazil,Tonga,48
Brazil,Turkey,1
Brazil,United Arab Emirates,7
Brazil,United Kingdom,20
Brazil,United States of America,15
Brazil,Uruguay,7
Brazil,Viet Nam,77
Brazil,Zimbabwe,5
Brunei Darussalam,China,31
Brunei Darussalam,France,25
Brunei Darussalam,Germany,1
Brunei Darussalam,Indonesia,50
Brunei Darussalam,Italy,5
Brunei Darussalam,Malaysia,25
Brunei Darussalam,Netherlands,19
Brunei Darussalam,Singapore,12
Brunei Darussalam,Thailand,153
Brunei Darussalam,United Kingdom,8
Bulgaria,Australia,1
Bulgaria,Bahrain,1
Bulgaria,Belarus,15
Bulgaria,Canada,2
Bulgaria,China,2
Bulgaria,India,10
Bulgaria,Indonesia,16
Bulgaria,Japan,9
Bulgaria,Kuwait,4
Bulgaria,Kyrgyzstan,4
Bulgaria,Lebanon,1
Bulgaria,Malaysia,6
Bulgaria,North Macedonia,2
Bulgaria,Qatar,24
Bulgaria,Russian Federation,16
Bulgaria,San Marino,1
Bulgaria,Singapore,5
Bulgaria,South Africa,26
Bulgaria,South Korea,3
Bulgaria,Switzerland,331
Bulgaria,Taiwan,46
Bulgaria,"Tanzania, United Republic of",5
Bulgaria,Thailand,148
Bulgaria,Turkey,6
Bulgaria,United Kingdom,3
Bulgaria,United States of America,6
Bulgaria,Zambia,4
Bulgaria,Zimbabwe,46
Burkina Faso,Belgium,1
Burkina Faso,France,17
Burkina Faso,Italy,1
Burkina Faso,Madagascar,3
Burkina Faso,Niger,6
Cabo Verde,Angola,1
Cabo Verde,Netherlands,22
Cabo Verde,Senegal,2
Cambodia,Canada,8
Cambodia,China,3
Cambodia,France,290
Cambodia,Germany,7
Cambodia,Hong Kong,12
Cambodia,Indonesia,2
Cambodia,Italy,213
Cambodia,Pakistan,2
Cambodia,Singapore,348
Cambodia,Spain,1
Cambodia,Switzerland,13
Cambodia,Thailand,14
Cambodia,United Kingdom,24
Cambodia,United States of America,2
Cameroon,France,4
Cameroon,Germany,1
Cameroon,Italy,7
Cameroon,Senegal,4
Cameroon,Spain,2
Canada,Argentina,12
Canada,Australia,2
Canada,Austria,216
Canada,Azerbaijan,2
Canada,Bahrain,1
Canada,Belgium,71
Canada,Belize,12
Canada,Benin,12
Canada,Botswana,10
Canada,Brazil,39
Canada,Cambodia,6
Canada,Cameroon,11
Canada,Central African Republic,1
Canada,China,222
Canada,Colombia,38
Canada,Costa Rica,19
Canada,Cuba,7
Canada,Cyprus,1
Canada,Czech Republic,117
Canada,Côte d'Ivoire,6
Canada,Denmark,13
Canada,Dominican Republic,4
Canada,Ecuador,101
Canada,El Salvador,2
Canada,Estonia,5
Canada,France,2954
Canada,Germany,830
Canada,Ghana,18
Canada,Greece,8
Canada,Greenland,3
Canada,Guyana,19
Canada,Honduras,1
Canada,Hong Kong,73
Canada,Hungary,5
Canada,Iceland,2
Canada,India,19
Canada,Indonesia,5561
Canada,Iran (Islamic Republic of),4
Canada,Ireland,28
Canada,Israel,2
Canada,Italy,1091
Canada,Japan,261
Canada,Kenya,580
Canada,Kuwait,1
Canada,Kyrgyzstan,15
Canada,Latvia,1
Canada,Lebanon,2
Canada,Madagascar,49
Canada,Malaysia,498
Canada,Mauritius,4
Canada,Mexico,57
Canada,Mongolia,4
Canada,Mozambique,4
Canada,Netherlands,334
Canada,New Zealand,2
Canada,Nicaragua,97
Canada,North Macedonia,3
Canada,Pakistan,4
Canada,Peru,7
Canada,Philippines,1
Canada,Poland,49
Canada,Portugal,6
Canada,Romania,2
Canada,Russian Federation,3
Canada,"Saint Helena, Ascension and Tristan da Cunha",1
Canada,Saint Kitts and Nevis,5
Canada,San Marino,5
Canada,Singapore,502
Canada,Slovenia,6
Canada,South Africa,371
Canada,South Korea,44
Canada,Spain,109
Canada,Sri Lanka,457
Canada,Sweden,6
Canada,Switzerland,1523
Canada,Taiwan,8
Canada,Tajikistan,1
Canada,"Tanzania, United Republic of",3
Canada,Thailand,1007
Canada,Tonga,14
Canada,Trinidad and Tobago,2
Canada,Turkey,128
Canada,Uganda,11
Canada,United Arab Emirates,9
Canada,United Kingdom,304
Canada,United States of America,212
Canada,Uruguay,7
Canada,Uzbekistan,4
Canada,Viet Nam,88
Canada,Virgin Islands (British),1
Canada,Zambia,8
Canada,Zimbabwe,258
Cayman Islands,Belize,1
Cayman Islands,Canada,1
Cayman Islands,France,24
Cayman Islands,Germany,35
Cayman Islands,Honduras,10
Cayman Islands,Ireland,1
Cayman Islands,Italy,1
Cayman Islands,Jamaica,25
Cayman Islands,Latvia,1
Cayman Islands,Switzerland,39
Cayman Islands,United Kingdom,2
Cayman Islands,United States of America,20
Central African Republic,France,1
Chad,Madagascar,51
Chad,United Arab Emirates,4
Chile,Argentina,1
Chile,Belgium,16
Chile,Bolivia (Plurinational State of),4
Chile,Brazil,14
Chile,Canada,2
Chile,Colombia,8
Chile,Costa Rica,30
Chile,Czech Republic,3
Chile,Côte d'Ivoire,2
Chile,El Salvador,1
Chile,France,106
Chile,Germany,146
Chile,Ireland,1
Chile,Italy,26
Chile,Japan,6
Chile,Peru,26
Chile,Portugal,8
Chile,Russian Federation,3
Chile,Slovakia,1
Chile,South Africa,29
Chile,South Korea,40
Chile,Spain,112
Chile,Switzerland,100
Chile,Thailand,9
Chile,United Kingdom,4
Chile,United States of America,44
Chile,Uruguay,6
China,Angola,1
China,Argentina,323
China,Australia,78
China,Austria,127
China,Azerbaijan,5
China,Bahamas,22
China,Bahrain,1
China,Belgium,546
China,Belize,18
China,Bolivia (Plurinational State of),21
China,Botswana,3
China,Brazil,108
China,Burkina Faso,15
China,Cambodia,4
China,Cameroon,195
China,Canada,12095
China,Central African Republic,4
China,Colombia,10
China,Congo,31
China,Costa Rica,36
China,Cyprus,1
China,Czech Republic,138
China,Côte d'Ivoire,14
China,Democratic Republic of the Congo,1749
China,Denmark,49
China,Ecuador,1
China,Equatorial Guinea,70
China,Estonia,23
China,Ethiopia,2
China,Finland,3
China,France,43569
China,Gabon,61
China,Gambia,1027
China,Germany,4050
China,Ghana,1579
China,Greece,3
China,Guatemala,4
China,Guyana,6
China,Hungary,12
China,India,553
China,Indonesia,16989
China,Ireland,1156
China,Italy,13487
China,Japan,1494
China,Kenya,28
China,Lao People's Democratic Republic,19
China,Latvia,8
China,Malaysia,1119
China,Mali,195
China,Mexico,328
China,Monaco,1
China,Mongolia,3
China,Morocco,2
China,Mozambique,144
China,Nepal,3
China,Netherlands,209
China,New Zealand,7
China,Nicaragua,367
China,Norway,6
China,Pakistan,29
China,Panama,220
China,Papua New Guinea,9
China,Paraguay,166
China,Peru,16
China,Philippines,98
China,Poland,2
China,Portugal,173
China,Romania,5
China,Russian Federation,44809
China,Senegal,48
China,Serbia,5
China,Sierra Leone,9408
China,Singapore,8310
China,Slovenia,51
China,Solomon Islands,3
China,South Africa,441
China,South Korea,1594
China,Spain,962
China,Sudan,1
China,Suriname,8
China,Sweden,1
China,Switzerland,20959
China,Syrian Arab Republic,12
China,"Tanzania, United Republic of",244
China,Thailand,1563
China,Turkey,99
China,Uganda,1
China,Ukraine,4
China,United Arab Emirates,44
China,United Kingdom,253
China,United States of America,201
China,Uzbekistan,9
China,Vanuatu,3
China,Venezuela (Bolivarian Republic of),1
China,Viet Nam,994
China,Zambia,690
China,Zimbabwe,91
Colombia,Argentina,1
Colombia,Austria,2
Colombia,Brazil,2
Colombia,Canada,2
Colombia,China,1
Colombia,Costa Rica,36
Colombia,Czech Republic,1
Colombia,France,92
Colombia,Germany,274
Colombia,Indonesia,3
Colombia,Italy,80
Colombia,Japan,1
Colombia,Malaysia,1
Colombia,Mexico,1
Colombia,Netherlands,16
Colombia,Paraguay,1
Colombia,South Korea,13
Colombia,Spain,31
Colombia,Switzerland,100
Colombia,Thailand,20
Colombia,United States of America,3
Congo,France,29
Congo,Italy,14
Congo,Spain,4
Congo,Switzerland,4
Congo,United Kingdom,2
Costa Rica,Canada,4
Costa Rica,China,1
Costa Rica,Colombia,3
Costa Rica,Estonia,1
Costa Rica,France,19
Costa Rica,Germany,27
Costa Rica,Ireland,2
Costa Rica,Malaysia,4
Costa Rica,Netherlands,14
Costa Rica,Panama,2
Costa Rica,South Africa,9
Costa Rica,South Korea,5
Costa Rica,Spain,2
Costa Rica,Switzerland,64
Costa Rica,Thailand,16
Costa Rica,United Kingdom,10
Costa Rica,United States of America,1
Croatia,Canada,2
Croatia,India,8
Croatia,Russian Federation,1
Croatia,Serbia,12
Croatia,South Africa,35
Croatia,Switzerland,98
Croatia,Thailand,3
Croatia,United Kingdom,24
Cuba,Switzerland,1
Curaçao,Aruba,1
Curaçao,Colombia,111
Curaçao,France,50
Curaçao,Jamaica,4
Curaçao,Netherlands,1122
Curaçao,Nicaragua,13
Curaçao,Thailand,119
Curaçao,United Kingdom,1
Cyprus,Australia,1
Cyprus,China,1
Cyprus,Guyana,6
Cyprus,Indonesia,301
Cyprus,Israel,1
Cyprus,Japan,1
Cyprus,Panama,1
Cyprus,Qatar,1
Cyprus,Russian Federation,4
Cyprus,Seychelles,2
Cyprus,South Africa,5
Cyprus,Switzerland,160
Cyprus,Thailand,5
Cyprus,Ukraine,2
Cyprus,United Arab Emirates,4
Cyprus,United Kingdom,6
Cyprus,United States of America,1
Cyprus,Viet Nam,7
Cyprus,Zambia,10
Czech Republic,Argentina,12
Czech Republic,Australia,47
Czech Republic,Belarus,3
Czech Republic,Cameroon,2
Czech Republic,Canada,14
Czech Republic,Chile,2
Czech Republic,China,19
Czech Republic,Colombia,137
Czech Republic,Democratic Republic of the Congo,12
Czech Republic,Ethiopia,4
Czech Republic,Ghana,3
Czech Republic,Guyana,12
Czech Republic,India,76
Czech Republic,Indonesia,642
Czech Republic,Israel,10
Czech Republic,Kyrgyzstan,10
Czech Republic,Madagascar,55
Czech Republic,Malaysia,1
Czech Republic,Mexico,1
Czech Republic,Montenegro,1
Czech Republic,Nicaragua,11
Czech Republic,North Macedonia,2
Czech Republic,Norway,2
Czech Republic,Peru,7
Czech Republic,Philippines,1
Czech Republic,Qatar,2
Czech Republic,Russian Federation,47
Czech Republic,Saudi Arabia,1
Czech Republic,Singapore,6
Czech Republic,South Africa,112
Czech Republic,South Korea,1
Czech Republic,Sri Lanka,3
Czech Republic,Switzerland,802
Czech Republic,Syrian Arab Republic,4
Czech Republic,Taiwan,28
Czech Republic,Tajikistan,1
Czech Republic,Thailand,148
Czech Republic,Togo,1
Czech Republic,Turkey,1
Czech Republic,United Arab Emirates,26
Czech Republic,United Kingdom,22
Czech Republic,United States of America,35
Czech Republic,Viet Nam,6
Czech Republic,Zambia,5
Czech Republic,Zimbabwe,33
Côte d'Ivoire,France,165
Côte d'Ivoire,Germany,5
Côte d'Ivoire,Italy,5
Côte d'Ivoire,Lebanon,1
Côte d'Ivoire,Netherlands,101
Côte d'Ivoire,Niger,3
Côte d'Ivoire,Senegal,1
Côte d'Ivoire,South Africa,39
Côte d'Ivoire,Spain,6
Côte d'Ivoire,Switzerland,31
Côte d'Ivoire,Thailand,12
Democratic Republic of the Congo,Belgium,29
Democratic Republic of the Congo,France,18
Democratic Republic of the Congo,Germany,7
Democratic Republic of the Congo,Ireland,5
Democratic Republic of the Congo,Italy,31
Democratic Republic of the Congo,Netherlands,8
Democratic Republic of the Congo,South Africa,37
Democratic Republic of the Congo,Switzerland,11
Democratic Republic of the Congo,Thailand,3
Democratic Republic of the Congo,Zimbabwe,5
Denmark,Argentina,10
Denmark,Australia,3305
Denmark,Azerbaijan,18
Denmark,Cameroon,1
Denmark,Canada,247
Denmark,Central African Republic,1
Denmark,China,9
Denmark,Colombia,20
Denmark,Dominican Republic,25
Denmark,Ecuador,1
Denmark,Faroe Islands,9
Denmark,Ghana,3
Denmark,Greenland,667
Denmark,Guatemala,29
Denmark,Guinea,1
Denmark,Hong Kong,1
Denmark,Iceland,1
Denmark,India,24
Denmark,Indonesia,252
Denmark,Iran (Islamic Republic of),1
Denmark,Japan,48
Denmark,Kenya,231
Denmark,Kyrgyzstan,28
Denmark,Mauritius,2
Denmark,Mongolia,8
Denmark,New Zealand,12
Denmark,Norway,10
Denmark,Pakistan,8
Denmark,Peru,2
Denmark,Philippines,1
Denmark,Russian Federation,27
Denmark,Saint Kitts and Nevis,42
Denmark,Seychelles,1
Denmark,Sierra Leone,2
Denmark,Singapore,5
Denmark,South Africa,474
Denmark,Sri Lanka,24
Denmark,Switzerland,616
Denmark,Taiwan,1
Denmark,Tajikistan,5
Denmark,"Tanzania, United Republic of",22
Denmark,Thailand,338
Denmark,Tonga,24
Denmark,Turkey,213
Denmark,United Arab Emirates,6
Denmark,United Kingdom,133
Denmark,United States of America,13
Denmark,Zambia,10
Denmark,Zimbabwe,25
Djibouti,South Africa,2
Dominica,Saint Kitts and Nevis,3
Dominica,Thailand,5
Dominican Republic,Belize,14
Dominican Republic,Bolivia (Plurinational State of),2
Dominican Republic,Brazil,7
Dominican Republic,Costa Rica,4
Dominican Republic,Côte d'Ivoire,117
Dominican Republic,Fiji,77
Dominican Republic,France,74
Dominican Republic,Germany,32
Dominican Republic,Ghana,1
Dominican Republic,Guatemala,7
Dominican Republic,Italy,12
Dominican Republic,Jamaica,12
Dominican Republic,Netherlands,765
Dominican Republic,Peru,6
Dominican Republic,South Africa,2
Dominican Republic,Spain,11
Dominican Republic,Suriname,16
Dominican Republic,Switzerland,19
Dominican Republic,Thailand,408
Dominican Republic,United Arab Emirates,1
Dominican Republic,United States of America,6
Ecuador,Chile,2
Ecuador,Colombia,1
Ecuador,France,27
Ecuador,Germany,112
Ecuador,Italy,4
Ecuador,Japan,2
Ecuador,Netherlands,6
Ecuador,South Africa,12
Ecuador,Spain,13
Ecuador,Switzerland,25
Ecuador,Thailand,1
Egypt,Austria,1
Egypt,Bahrain,39
Egypt,Belgium,11
Egypt,Benin,1
Egypt,China,18
Egypt,Cyprus,26
Egypt,Czech Republic,9
Egypt,El Salvador,2
Egypt,Ethiopia,1
Egypt,France,79
Egypt,Germany,87
Egypt,Greece,2
Egypt,India,6
Egypt,Indonesia,2
Egypt,Ireland,4
Egypt,Italy,87
Egypt,Japan,5
Egypt,Kuwait,5
Egypt,Lebanon,3
Egypt,Netherlands,80
Egypt,Qatar,9
Egypt,Russian Federation,3
Egypt,Senegal,2
Egypt,Singapore,4
Egypt,South Africa,7
Egypt,Spain,12
Egypt,Switzerland,72
Egypt,Syrian Arab Republic,1
Egypt,Thailand,12
Egypt,Tunisia,33
